3 minutes	61.144.79.188	9999	flag China	S	High +KA
6 minutes	218.28.179.74	8080	flag China	S	High +KA
8 minutes	182.253.48.127	3128	flag Indonesia	S	High +KA
16 minutes	77.249.40.94	8080	flag Netherlands	S	High +KA
22 minutes	177.69.67.244	3128	flag Brazil	S	High +KA
22 minutes	190.248.131.222	8080	flag Colombia	S	High +KA
26 minutes	188.134.76.66	3129	flag Russian Federation	S	High +KA
26 minutes	112.95.244.57	80	flag China	S	High +KA
27 minutes	183.89.105.228	3128	flag Thailand	S	High +KA
29 minutes	218.108.170.172	80	flag China		High +KA
33 minutes	201.221.131.203	8080	flag Colombia	S	High +KA
39 minutes	41.78.145.9	8080	flag Ghana	S	High +KA
43 minutes	210.14.138.94	8080	flag China		High +KA
45 minutes	218.108.170.167	82	flag China		High +KA
51 minutes	112.65.233.189	3128	flag China		Low
52 minutes	193.232.184.141	8080	flag Russian Federation		Low
54 minutes	115.29.184.63	3128	flag China	S	High +KA
56 minutes	27.46.20.72	9999	flag China		Low
1 hour and 3 minutes	112.4.17.152	8080	flag China		High +KA
1 hour and 7 minutes	87.98.145.72	3128	flag France	S	High +KA
1 hour and 11 minutes	221.2.80.126	8888	flag China	S	High +KA
1 hour and 16 minutes	192.3.25.99	8089	flag United States		High +KA
1 hour and 18 minutes	212.200.131.219	8080	flag Serbia	S	High +KA
1 hour and 21 minutes	182.253.51.39	8080	flag Indonesia	S	High +KA
1 hour and 22 minutes	218.104.148.59	3128	flag China		High +KA
1 hour and 24 minutes	212.3.190.77	8080	flag Italy	S	High +KA
1 hour and 26 minutes	27.123.222.34	8080	flag Indonesia	S	High +KA
1 hour and 27 minutes	190.248.128.238	8080	flag Colombia	S	High +KA
1 hour and 28 minutes	210.0.205.70	80	flag Hong Kong	S	High +KA
1 hour and 30 minutes	221.130.29.184	8888	flag China		High +KA
1 hour and 32 minutes	58.20.223.230	3128	flag China		High +KA
1 hour and 35 minutes	218.29.54.105	80	flag China		Low
1 hour and 36 minutes	61.178.73.22	7686	flag China		High +KA
1 hour and 38 minutes	42.48.129.95	18186	flag China		High +KA
1 hour and 38 minutes	122.96.59.104	81	flag China		High +KA
1 hour and 40 minutes	109.73.70.165	8090	flag United Kingdom		Low
1 hour and 42 minutes	61.158.219.226	8118	flag China	S	High +KA
1 hour and 43 minutes	94.20.20.136	3128	flag Azerbaijan	S	High +KA
1 hour and 43 minutes	61.19.51.50	8080	flag Thailand	S	High +KA
1 hour and 44 minutes	221.130.30.116	8888	flag China		High +KA
1 hour and 51 minutes	123.151.174.44	81	flag China		High +KA
1 hour and 55 minutes	177.136.224.17	8080	flag Brazil	S	High +KA
1 hour and 56 minutes	145.255.4.150	8080	flag Russian Federation	S	High +KA
1 hour and 56 minutes	190.74.179.63	8080	flag Venezuela	S	High +KA
1 hour and 56 minutes	183.63.81.66	9999	flag China	S	High +KA
1 hour and 58 minutes	201.93.186.80	3128	flag Brazil		Low
1 hour and 58 minutes	113.28.244.195	3128	flag Hong Kong	S	High +KA
1 hour and 59 minutes	221.2.228.202	9000	flag China	S	High +KA
2 hours and 1 minute	200.93.41.251	8080	flag Venezuela	S	High +KA
2 hours and 2 minutes	120.84.234.151	8080	flag China	S	High +KA
2 hours and 7 minutes	190.144.237.66	3128	flag Colombia	S	High +KA
2 hours and 10 minutes	188.27.153.73	8080	flag Romania	S	High +KA
2 hours and 10 minutes	186.215.80.218	3128	flag Brazil	S	High +KA
2 hours and 12 minutes	77.50.220.92	8080	flag Russian Federation	S	High +KA
2 hours and 13 minutes	142.105.24.26	34312	flag Canada	4/5	High +KA
2 hours and 14 minutes	119.252.160.34	8080	flag Indonesia	S	High +KA
2 hours and 14 minutes	80.240.48.69	3128	flag Russian Federation	S	High +KA
2 hours and 15 minutes	66.35.68.146	3127	flag United States		High +KA
2 hours and 15 minutes	115.124.89.177	80	flag Indonesia		Low
2 hours and 15 minutes	195.189.30.10	8080	flag Kazakhstan	S	High +KA
2 hours and 16 minutes	115.124.89.154	8080	flag Indonesia		Low
2 hours and 17 minutes	180.183.249.71	8080	flag Thailand	S	High +KA
2 hours and 17 minutes	222.66.115.233	80	flag China		Low
2 hours and 20 minutes	61.55.141.11	81	flag China		High +KA
2 hours and 20 minutes	202.43.188.15	8080	flag Indonesia		Low
2 hours and 22 minutes	212.200.131.63	80	flag Serbia	S	High +KA
2 hours and 27 minutes	202.57.58.204	8080	flag Philippines	S	High +KA
2 hours and 27 minutes	124.162.168.184	8080	flag China	S	High +KA
2 hours and 28 minutes	201.210.243.48	8080	flag Venezuela	S	High +KA
2 hours and 33 minutes	190.198.84.46	8080	flag Venezuela	S	High +KA
2 hours and 34 minutes	58.215.52.141	8080	flag China	S	High +KA
2 hours and 35 minutes	222.35.61.196	3128	flag China	S	High +KA
2 hours and 40 minutes	200.85.39.10	8080	flag Paraguay	S	High +KA
2 hours and 41 minutes	218.108.170.165	82	flag China		High +KA
2 hours and 43 minutes	178.18.25.85	3128	flag Netherlands	S	High +KA
2 hours and 44 minutes	122.96.59.104	80	flag China		High +KA
2 hours and 44 minutes	203.172.208.43	3129	flag Thailand	S	High +KA
2 hours and 47 minutes	186.215.231.211	8080	flag Brazil	S	High +KA
2 hours and 51 minutes	200.146.84.52	3128	flag Brazil	S	High +KA
2 hours and 52 minutes	218.91.206.146	8001	flag China		Low
2 hours and 54 minutes	187.28.44.60	8080	flag Brazil	S	High +KA
2 hours and 55 minutes	60.51.218.180	8080	flag Malaysia		Low
3 hours and 2 minutes	114.80.136.222	7780	flag China	S	High +KA
3 hours and 6 minutes	84.40.120.192	8080	flag Bulgaria		Low
3 hours and 6 minutes	64.34.14.28	7808	flag United States		High +KA
3 hours and 7 minutes	117.59.224.60	80	flag China	S	High +KA
3 hours and 15 minutes	180.183.249.71	80	flag Thailand	S	High +KA
